Cod_Produto;Produto;Dimensoes;Preï¿½o;Cod_Material;Descriï¿½ï¿½o;Quantidade;Unidade
P00001;Movel WC ;80x120x60;99.000000;M0001;Tubo Cola 10GR;1;UN
M0002;4;Parafuso 30MM;UN
M0003;4;Bucha 30MM;UN
M0004;2;Base 80x60;UN
M0005;4;Pés;UN
M0006;1;Porta 80x120;UN
M0007;1;Fundo 80x120;UN
M0008;2;Laterais 60x120;UN
M0009;24;Cavilhas;UN
M0023;3;Prateleiras 75x55;UN
P00002;Cómoda 3 Gavetas ;160x120x60;299.000000;M0001;Tubo Cola 10GR;4;UN
M0002;8;Parafuso 30MM;UN
M0003;8;Bucha 30MM;UN
M0008;2;Laterais 60x120;UN
M0010;1;Fundo 160x120;UN
M0011;2;Base 160x60;UN
M0012;3;Ferragem 40CM;PAR
M0013;3;Fundo 155x35;UN
M0014;6;Laterais 55x35;UN
M0015;3;Frente 160x38;UN
M0016;3;Base 155x55;UN
P00003;Mesa de Cabeçeira ;60x60x60ñì;149.000000;M0001;Tubo Cola 10GR;2;UN
M0002;4;Parafuso 30MM;UN
M0003;4;Bucha 30MM;UN
M0017;2;Laterais 60x60;UN
M0018;3;Base 60x60;UN
M0012;2;Ferragem 40CM;PAR
M0018;2;Fundo 55x25;UN
M0020;4;Laterais 55x25;UN
M0021;2;Frente 60x28;UN
M0022;2;Base 55x55;UN
